"","mRNA","miRNA","mRNA+miRNA","mRNA+miRNA+CNB+TMB","mRNA+miRNA+Age+ER+PR","mRNA+miRNA+CNB+TMB+Age+ER+PR"
"mRNA",NA,0.476939161105756,0.536334255204129,0.452206295647146,0.042899691039602,0.0295188256353881
"miRNA",0.476939161105756,NA,0.705444218463971,0.651930762577851,0.930976335371974,0.549875356853652
"mRNA+miRNA",0.536334255204129,0.705444218463971,NA,0.816974633861173,0.00438409578342042,0.0535522695135133
"mRNA+miRNA+CNB+TMB",0.452206295647146,0.651930762577851,0.816974633861173,NA,0.0140484219320057,0.0226957296852313
"mRNA+miRNA+Age+ER+PR",0.042899691039602,0.930976335371974,0.00438409578342042,0.0140484219320057,NA,0.20092394581791
"mRNA+miRNA+CNB+TMB+Age+ER+PR",0.0295188256353881,0.549875356853652,0.0535522695135133,0.0226957296852313,0.20092394581791,NA
