"","mRNA","miRNA","mRNA+miRNA","mRNA+miRNA+CNB+TMB","mRNA+miRNA+Age+ER+PR","mRNA+miRNA+CNB+TMB+Age+ER+PR"
"mRNA",NA,-0.783857388449766,-0.675607424231934,-0.831978309009521,-2.92799189497421,-3.31490140565826
"miRNA",0.783857388449766,NA,0.406116879717549,0.486707269466283,-0.0921944468706704,-0.652160546545445
"mRNA+miRNA",0.675607424231934,-0.406116879717549,NA,0.247128550222446,-5.80383175176633,-2.70972944946585
"mRNA+miRNA+CNB+TMB",0.831978309009521,-0.486707269466283,-0.247128550222446,NA,-4.1684819465312,-3.60308543614572
"mRNA+miRNA+Age+ER+PR",2.92799189497421,0.0921944468706704,5.80383175176633,4.1684819465312,NA,-1.52930263614355
"mRNA+miRNA+CNB+TMB+Age+ER+PR",3.31490140565826,0.652160546545445,2.70972944946585,3.60308543614572,1.52930263614355,NA
