Without feature removing concordance index: 0.72052980
Feature removed: 1, concordance index: 0.72052980
Feature removed: 2, concordance index: 0.71655629
Feature removed: 3, concordance index: 0.72185430
Feature removed: 4, concordance index: 0.72052980
Feature removed: 5, concordance index: 0.72185430
Feature removed: 6, concordance index: 0.72052980
Feature removed: 7, concordance index: 0.72052980
Feature removed: 8, concordance index: 0.72052980
Feature removed: 9, concordance index: 0.72450331
Feature removed: 10, concordance index: 0.71788079
Feature removed: 11, concordance index: 0.72185430
Feature removed: 12, concordance index: 0.72185430
Feature removed: 13, concordance index: 0.71655629
Feature removed: 14, concordance index: 0.71920530
Feature removed: 15, concordance index: 0.72317881
Feature removed: 16, concordance index: 0.71655629
Feature removed: 17, concordance index: 0.72052980
Feature removed: 18, concordance index: 0.72185430
Feature removed: 19, concordance index: 0.71920530
Feature removed: 20, concordance index: 0.72715232
Feature removed: 21, concordance index: 0.72052980
Feature removed: 22, concordance index: 0.71655629
Feature removed: 23, concordance index: 0.71655629
Feature removed: 24, concordance index: 0.71523179
Feature removed: 25, concordance index: 0.72052980
Feature removed: 26, concordance index: 0.71655629
Feature removed: 27, concordance index: 0.72052980
Feature removed: 28, concordance index: 0.72185430
Feature removed: 29, concordance index: 0.71788079
Feature removed: 30, concordance index: 0.71390728
Feature removed: 31, concordance index: 0.72185430
Feature removed: 32, concordance index: 0.68079470
Feature removed: 33, concordance index: 0.68079470
