Without feature removing concordance index: 0.65269461
Feature removed: 1, concordance index: 0.65269461
Feature removed: 2, concordance index: 0.65149701
Feature removed: 3, concordance index: 0.64431138
Feature removed: 4, concordance index: 0.64910180
Feature removed: 5, concordance index: 0.65748503
Feature removed: 6, concordance index: 0.66586826
Feature removed: 7, concordance index: 0.65269461
Feature removed: 8, concordance index: 0.65628743
Feature removed: 9, concordance index: 0.65269461
Feature removed: 10, concordance index: 0.64431138
Feature removed: 11, concordance index: 0.62874251
Feature removed: 12, concordance index: 0.65149701
Feature removed: 13, concordance index: 0.66107784
Feature removed: 14, concordance index: 0.65269461
Feature removed: 15, concordance index: 0.64550898
Feature removed: 16, concordance index: 0.65269461
Feature removed: 17, concordance index: 0.65269461
Feature removed: 18, concordance index: 0.63473054
Feature removed: 19, concordance index: 0.66227545
Feature removed: 20, concordance index: 0.62155689
Feature removed: 21, concordance index: 0.65628743
Feature removed: 22, concordance index: 0.64790419
Feature removed: 23, concordance index: 0.65508982
Feature removed: 24, concordance index: 0.65269461
Feature removed: 25, concordance index: 0.65029940
Feature removed: 26, concordance index: 0.66586826
Feature removed: 27, concordance index: 0.66107784
Feature removed: 28, concordance index: 0.65269461
Feature removed: 29, concordance index: 0.65748503
Feature removed: 30, concordance index: 0.65269461
Feature removed: 31, concordance index: 0.65269461
Feature removed: 32, concordance index: 0.64431138
Feature removed: 33, concordance index: 0.64790419
Feature removed: 34, concordance index: 0.63592814
Feature removed: 35, concordance index: 0.64311377
Feature removed: 36, concordance index: 0.64670659
Feature removed: 37, concordance index: 0.65628743
Feature removed: 38, concordance index: 0.63233533
Feature removed: 39, concordance index: 0.64910180
Feature removed: 40, concordance index: 0.64910180
Feature removed: 41, concordance index: 0.64790419
Feature removed: 42, concordance index: 0.65269461
Feature removed: 43, concordance index: 0.65149701
Feature removed: 44, concordance index: 0.65269461
Feature removed: 45, concordance index: 0.65149701
Feature removed: 46, concordance index: 0.65149701
Feature removed: 47, concordance index: 0.64311377
Feature removed: 48, concordance index: 0.64191617
Feature removed: 49, concordance index: 0.65389222
Feature removed: 50, concordance index: 0.64910180
Feature removed: 51, concordance index: 0.64191617
Feature removed: 52, concordance index: 0.65269461
Feature removed: 53, concordance index: 0.64191617
Feature removed: 54, concordance index: 0.65748503
Feature removed: 55, concordance index: 0.64790419
Feature removed: 56, concordance index: 0.65269461
Feature removed: 57, concordance index: 0.64910180
Feature removed: 58, concordance index: 0.65149701
Feature removed: 59, concordance index: 0.65149701
Feature removed: 60, concordance index: 0.65149701
Feature removed: 61, concordance index: 0.65029940
Feature removed: 62, concordance index: 0.64311377
Feature removed: 63, concordance index: 0.64910180
Feature removed: 64, concordance index: 0.65149701
Feature removed: 65, concordance index: 0.65029940
Feature removed: 66, concordance index: 0.64910180
Feature removed: 67, concordance index: 0.64191617
Feature removed: 68, concordance index: 0.65029940
Feature removed: 69, concordance index: 0.65269461
