Without feature removing concordance index: 0.74498229
Feature removed: 1, concordance index: 0.73671783
Feature removed: 2, concordance index: 0.72963400
Feature removed: 3, concordance index: 0.75678867
Feature removed: 4, concordance index: 0.74616293
Feature removed: 5, concordance index: 0.77213695
Feature removed: 6, concordance index: 0.72255018
Feature removed: 7, concordance index: 0.74852420
Feature removed: 8, concordance index: 0.72963400
Feature removed: 9, concordance index: 0.73907910
Feature removed: 10, concordance index: 0.73435655
Feature removed: 11, concordance index: 0.74852420
Feature removed: 12, concordance index: 0.71782763
Feature removed: 13, concordance index: 0.75442739
Feature removed: 14, concordance index: 0.72018890
Feature removed: 15, concordance index: 0.74025974
Feature removed: 16, concordance index: 0.72727273
Feature removed: 17, concordance index: 0.72609209
Feature removed: 18, concordance index: 0.74380165
Feature removed: 19, concordance index: 0.75088548
Feature removed: 20, concordance index: 0.72727273
Feature removed: 21, concordance index: 0.74734357
Feature removed: 22, concordance index: 0.72018890
Feature removed: 23, concordance index: 0.74970484
Feature removed: 24, concordance index: 0.74380165
Feature removed: 25, concordance index: 0.74498229
Feature removed: 26, concordance index: 0.74498229
Feature removed: 27, concordance index: 0.74498229
Feature removed: 28, concordance index: 0.74498229
Feature removed: 29, concordance index: 0.74498229
Feature removed: 30, concordance index: 0.73553719
Feature removed: 31, concordance index: 0.74380165
Feature removed: 32, concordance index: 0.68713105
Feature removed: 33, concordance index: 0.73317591
