Without feature removing concordance index: 0.72000000
Feature removed: 1, concordance index: 0.72114286
Feature removed: 2, concordance index: 0.70514286
Feature removed: 3, concordance index: 0.72457143
Feature removed: 4, concordance index: 0.72228571
Feature removed: 5, concordance index: 0.72800000
Feature removed: 6, concordance index: 0.70628571
Feature removed: 7, concordance index: 0.72685714
Feature removed: 8, concordance index: 0.72342857
Feature removed: 9, concordance index: 0.72000000
Feature removed: 10, concordance index: 0.70857143
Feature removed: 11, concordance index: 0.72000000
Feature removed: 12, concordance index: 0.71885714
Feature removed: 13, concordance index: 0.71885714
Feature removed: 14, concordance index: 0.71885714
Feature removed: 15, concordance index: 0.70742857
Feature removed: 16, concordance index: 0.72800000
Feature removed: 17, concordance index: 0.71885714
Feature removed: 18, concordance index: 0.72114286
Feature removed: 19, concordance index: 0.72000000
Feature removed: 20, concordance index: 0.71542857
Feature removed: 21, concordance index: 0.72228571
Feature removed: 22, concordance index: 0.71771429
Feature removed: 23, concordance index: 0.71428571
Feature removed: 24, concordance index: 0.72342857
Feature removed: 25, concordance index: 0.72914286
Feature removed: 26, concordance index: 0.72000000
Feature removed: 27, concordance index: 0.72000000
Feature removed: 28, concordance index: 0.71885714
Feature removed: 29, concordance index: 0.72114286
Feature removed: 30, concordance index: 0.73600000
Feature removed: 31, concordance index: 0.71885714
Feature removed: 32, concordance index: 0.68457143
Feature removed: 33, concordance index: 0.68800000
