"","barcode","LENGTH_KB"
"TCGA-E2-A1IE","TCGA-E2-A1IE",756706.461
"TCGA-E2-A1IF","TCGA-E2-A1IF",339203.572
"TCGA-E2-A1IG","TCGA-E2-A1IG",361799.773
"TCGA-E2-A1IH","TCGA-E2-A1IH",1089645.645
"TCGA-E2-A1II","TCGA-E2-A1II",1486228.508
"TCGA-E2-A1IJ","TCGA-E2-A1IJ",335922.24
"TCGA-E2-A1IL","TCGA-E2-A1IL",481764.617
"TCGA-E2-A1IN","TCGA-E2-A1IN",1281503.707
"TCGA-E2-A1IO","TCGA-E2-A1IO",1180727.416
"TCGA-E2-A1IU","TCGA-E2-A1IU",148600.453
"TCGA-E2-A1L6","TCGA-E2-A1L6",369778.697
"TCGA-E2-A1L7","TCGA-E2-A1L7",1313925.483
"TCGA-E2-A1L8","TCGA-E2-A1L8",470044.214
"TCGA-E2-A1L9","TCGA-E2-A1L9",269975.06
"TCGA-E2-A1LA","TCGA-E2-A1LA",972282.149
"TCGA-E2-A1LB","TCGA-E2-A1LB",310376.266
"TCGA-E2-A1LE","TCGA-E2-A1LE",1242140.286
"TCGA-E2-A1LG","TCGA-E2-A1LG",1596514.273
"TCGA-E2-A1LH","TCGA-E2-A1LH",546364.251
"TCGA-E2-A1LI","TCGA-E2-A1LI",1149418.656
"TCGA-E2-A1LK","TCGA-E2-A1LK",1090986.725
"TCGA-E2-A1LL","TCGA-E2-A1LL",1061838.85
"TCGA-E2-A2P5","TCGA-E2-A2P5",1915777.27
"TCGA-E2-A2P6","TCGA-E2-A2P6",400649.386
"TCGA-E2-A3DX","TCGA-E2-A3DX",57572.768
"TCGA-E2-A56Z","TCGA-E2-A56Z",1386487.325
"TCGA-E2-A570","TCGA-E2-A570",391823.489
"TCGA-E2-A573","TCGA-E2-A573",868626.453
"TCGA-E2-A574","TCGA-E2-A574",1806943.47
"TCGA-E9-A1N4","TCGA-E9-A1N4",537919.456
"TCGA-E9-A1N5","TCGA-E9-A1N5",531264.934
"TCGA-E9-A1N9","TCGA-E9-A1N9",1224616.933
"TCGA-E9-A1NA","TCGA-E9-A1NA",1104956.192
"TCGA-E9-A1ND","TCGA-E9-A1ND",379271.306
"TCGA-E9-A1NE","TCGA-E9-A1NE",38361.725
"TCGA-E9-A1NF","TCGA-E9-A1NF",1428230.916
"TCGA-E9-A1NG","TCGA-E9-A1NG",253422.741
"TCGA-E9-A1NH","TCGA-E9-A1NH",351507.063
"TCGA-E9-A1NI","TCGA-E9-A1NI",1141109.792
"TCGA-E9-A1R2","TCGA-E9-A1R2",923025.701
"TCGA-E9-A227","TCGA-E9-A227",146847.968
"TCGA-E9-A22A","TCGA-E9-A22A",896863.183
"TCGA-E9-A22B","TCGA-E9-A22B",697078.178
"TCGA-E9-A22D","TCGA-E9-A22D",655498.869
"TCGA-E9-A22E","TCGA-E9-A22E",1237222.112
"TCGA-E9-A22G","TCGA-E9-A22G",2534062.226
"TCGA-E9-A22H","TCGA-E9-A22H",298471.903
"TCGA-E9-A295","TCGA-E9-A295",1280318.32
"TCGA-E9-A3Q9","TCGA-E9-A3Q9",78707.631
"TCGA-E9-A3X8","TCGA-E9-A3X8",222629.019
"TCGA-E9-A54X","TCGA-E9-A54X",639198.542
"TCGA-E9-A54Y","TCGA-E9-A54Y",1445237.502
"TCGA-E9-A5FK","TCGA-E9-A5FK",242861.94
"TCGA-E9-A5FL","TCGA-E9-A5FL",1075491.99
"TCGA-EW-A1IW","TCGA-EW-A1IW",506020.996
"TCGA-EW-A1IX","TCGA-EW-A1IX",195652.685
"TCGA-EW-A1IY","TCGA-EW-A1IY",186994.283
"TCGA-EW-A1IZ","TCGA-EW-A1IZ",22455.782
"TCGA-EW-A1J1","TCGA-EW-A1J1",803140.274
"TCGA-EW-A1J2","TCGA-EW-A1J2",393714.621
"TCGA-EW-A1J3","TCGA-EW-A1J3",522521.52
"TCGA-EW-A1J5","TCGA-EW-A1J5",510352.53
"TCGA-EW-A1J6","TCGA-EW-A1J6",2570229.226
"TCGA-EW-A1OV","TCGA-EW-A1OV",1117241.167
"TCGA-EW-A1OX","TCGA-EW-A1OX",265301.969
"TCGA-EW-A1OY","TCGA-EW-A1OY",1689857.245
"TCGA-EW-A1OZ","TCGA-EW-A1OZ",1799864.543
"TCGA-EW-A1P0","TCGA-EW-A1P0",695897.247
"TCGA-EW-A1P1","TCGA-EW-A1P1",2296.299
"TCGA-EW-A1P3","TCGA-EW-A1P3",684801.732
"TCGA-EW-A1P4","TCGA-EW-A1P4",1347102.945
"TCGA-EW-A1P5","TCGA-EW-A1P5",741123.367
"TCGA-EW-A1P6","TCGA-EW-A1P6",266446.495
"TCGA-EW-A1P7","TCGA-EW-A1P7",7763.101
"TCGA-EW-A1P8","TCGA-EW-A1P8",2686652.322
"TCGA-EW-A1PA","TCGA-EW-A1PA",865457.653
"TCGA-EW-A1PB","TCGA-EW-A1PB",457047.021
"TCGA-EW-A1PC","TCGA-EW-A1PC",1681888.745
"TCGA-EW-A1PE","TCGA-EW-A1PE",510175.755
"TCGA-EW-A1PG","TCGA-EW-A1PG",1055.815
"TCGA-EW-A1PH","TCGA-EW-A1PH",1330034.943
"TCGA-EW-A2FR","TCGA-EW-A2FR",214693.288
"TCGA-EW-A2FS","TCGA-EW-A2FS",549859.538
"TCGA-EW-A2FV","TCGA-EW-A2FV",436800.27
"TCGA-EW-A2FW","TCGA-EW-A2FW",609240.836
"TCGA-EW-A3E8","TCGA-EW-A3E8",284579.711
"TCGA-EW-A3U0","TCGA-EW-A3U0",1321068.893
"TCGA-EW-A423","TCGA-EW-A423",1982562.231
"TCGA-GI-A2C8","TCGA-GI-A2C8",1611662.778
"TCGA-GI-A2C9","TCGA-GI-A2C9",1617607.168
"TCGA-GM-A2D9","TCGA-GM-A2D9",444922.568
"TCGA-GM-A2DA","TCGA-GM-A2DA",403780.338
"TCGA-GM-A2DB","TCGA-GM-A2DB",662204.552
"TCGA-GM-A2DC","TCGA-GM-A2DC",1177491.397
"TCGA-GM-A2DD","TCGA-GM-A2DD",339291.278
"TCGA-GM-A2DF","TCGA-GM-A2DF",559563.36
"TCGA-GM-A2DH","TCGA-GM-A2DH",839143.908
"TCGA-GM-A2DI","TCGA-GM-A2DI",41181.822
"TCGA-GM-A2DK","TCGA-GM-A2DK",524941.206
"TCGA-GM-A2DL","TCGA-GM-A2DL",531317.994
"TCGA-GM-A2DM","TCGA-GM-A2DM",16068.164
"TCGA-GM-A2DN","TCGA-GM-A2DN",186646.024
"TCGA-GM-A2DO","TCGA-GM-A2DO",99535.254
"TCGA-GM-A3NW","TCGA-GM-A3NW",705223.879
"TCGA-GM-A3NY","TCGA-GM-A3NY",319226.878
"TCGA-GM-A3XG","TCGA-GM-A3XG",32.121
"TCGA-GM-A3XL","TCGA-GM-A3XL",1390632.861
"TCGA-GM-A3XN","TCGA-GM-A3XN",479018.44
"TCGA-GM-A4E0","TCGA-GM-A4E0",38048.42
"TCGA-GM-A5PV","TCGA-GM-A5PV",106850.598
"TCGA-GM-A5PX","TCGA-GM-A5PX",287111.534
"TCGA-HN-A2NL","TCGA-HN-A2NL",2640896.331
"TCGA-HN-A2OB","TCGA-HN-A2OB",79223.009
"TCGA-JL-A3YW","TCGA-JL-A3YW",338167.801
"TCGA-JL-A3YX","TCGA-JL-A3YX",599389.627
"TCGA-LL-A440","TCGA-LL-A440",19773.032
"TCGA-LL-A441","TCGA-LL-A441",513938.849
"TCGA-LL-A50Y","TCGA-LL-A50Y",242569.318
"TCGA-LL-A5YL","TCGA-LL-A5YL",572989.702
"TCGA-LL-A5YM","TCGA-LL-A5YM",1249224.751
"TCGA-LL-A5YN","TCGA-LL-A5YN",514985.427
"TCGA-LL-A5YO","TCGA-LL-A5YO",165552.018
"TCGA-LL-A5YP","TCGA-LL-A5YP",1582429.198
"TCGA-LQ-A4E4","TCGA-LQ-A4E4",542229.686
"TCGA-MS-A51U","TCGA-MS-A51U",512971.677
"TCGA-OK-A5Q2","TCGA-OK-A5Q2",263026.081
"TCGA-OL-A5D6","TCGA-OL-A5D6",439569.24
"TCGA-OL-A5D7","TCGA-OL-A5D7",1034595.897
"TCGA-OL-A5D8","TCGA-OL-A5D8",500776.815
"TCGA-OL-A5DA","TCGA-OL-A5DA",679947.139
"TCGA-OL-A5RU","TCGA-OL-A5RU",114474.488
"TCGA-OL-A5RV","TCGA-OL-A5RV",186855.357
"TCGA-OL-A5RW","TCGA-OL-A5RW",2128150.542
"TCGA-OL-A5RX","TCGA-OL-A5RX",373926.14
"TCGA-OL-A5RY","TCGA-OL-A5RY",11736.204
"TCGA-OL-A5RZ","TCGA-OL-A5RZ",1354882.152
"TCGA-OL-A5S0","TCGA-OL-A5S0",1758180.113
"TCGA-OL-A66I","TCGA-OL-A66I",1158022.998
"TCGA-OL-A66J","TCGA-OL-A66J",192090.07
"TCGA-OL-A66K","TCGA-OL-A66K",538278.685
"TCGA-PE-A5DC","TCGA-PE-A5DC",913146.603
"TCGA-PE-A5DD","TCGA-PE-A5DD",686297.177
"TCGA-PE-A5DE","TCGA-PE-A5DE",1517319.833
