"","barcode","LENGTH_KB"
"TCGA-AC-A3EH","TCGA-AC-A3EH",1022988.978
"TCGA-AC-A3HN","TCGA-AC-A3HN",432843.386
"TCGA-AC-A3OD","TCGA-AC-A3OD",764894.583
"TCGA-AC-A3QP","TCGA-AC-A3QP",206576.861
"TCGA-AC-A3TM","TCGA-AC-A3TM",349076.572
"TCGA-AC-A3TN","TCGA-AC-A3TN",203419.252
"TCGA-AC-A3W5","TCGA-AC-A3W5",1077802.255
"TCGA-AC-A3W6","TCGA-AC-A3W6",303505.849
"TCGA-AC-A3W7","TCGA-AC-A3W7",415563.372
"TCGA-AC-A3YI","TCGA-AC-A3YI",94230.579
"TCGA-AC-A3YJ","TCGA-AC-A3YJ",128591.159
"TCGA-AC-A5EH","TCGA-AC-A5EH",624512.087
"TCGA-AC-A5XS","TCGA-AC-A5XS",719151.509
"TCGA-AC-A5XU","TCGA-AC-A5XU",1691436.314
"TCGA-AC-A62X","TCGA-AC-A62X",1603802.432
"TCGA-AC-A62Y","TCGA-AC-A62Y",1191189.16
"TCGA-AN-A0AT","TCGA-AN-A0AT",1298666.593
"TCGA-AO-A03V","TCGA-AO-A03V",891557.536
"TCGA-AO-A12A","TCGA-AO-A12A",392114.517
"TCGA-AO-A12B","TCGA-AO-A12B",320587.268
"TCGA-AO-A12D","TCGA-AO-A12D",935675.206
"TCGA-AO-A12F","TCGA-AO-A12F",1746322.085
"TCGA-AO-A1KP","TCGA-AO-A1KP",523744.983
"TCGA-AO-A1KR","TCGA-AO-A1KR",1279777.994
"TCGA-AO-A1KS","TCGA-AO-A1KS",1401827.1
"TCGA-AO-A1KT","TCGA-AO-A1KT",1014564.192
"TCGA-AQ-A0Y5","TCGA-AQ-A0Y5",1423694.298
"TCGA-AQ-A1H2","TCGA-AQ-A1H2",948987.76
"TCGA-AQ-A1H3","TCGA-AQ-A1H3",582606.764
"TCGA-AQ-A54N","TCGA-AQ-A54N",1941083.869
"TCGA-AR-A0TS","TCGA-AR-A0TS",259135.178
"TCGA-AR-A0TY","TCGA-AR-A0TY",1044432.556
"TCGA-AR-A1AH","TCGA-AR-A1AH",2543411.927
"TCGA-AR-A1AI","TCGA-AR-A1AI",1349186.4
"TCGA-AR-A1AJ","TCGA-AR-A1AJ",188173.754
"TCGA-AR-A1AK","TCGA-AR-A1AK",836498.397
"TCGA-AR-A1AL","TCGA-AR-A1AL",233412.671
"TCGA-AR-A1AM","TCGA-AR-A1AM",352523.078
"TCGA-AR-A1AN","TCGA-AR-A1AN",974382.939
"TCGA-AR-A1AO","TCGA-AR-A1AO",465.906
"TCGA-AR-A1AP","TCGA-AR-A1AP",821699.818
"TCGA-AR-A1AQ","TCGA-AR-A1AQ",1412705.835
"TCGA-AR-A1AR","TCGA-AR-A1AR",1346830.3
"TCGA-AR-A1AS","TCGA-AR-A1AS",393852.656
"TCGA-AR-A1AU","TCGA-AR-A1AU",621515.332
"TCGA-AR-A1AW","TCGA-AR-A1AW",350990.346
"TCGA-AR-A1AX","TCGA-AR-A1AX",105595.87
"TCGA-AR-A1AY","TCGA-AR-A1AY",1468204.901
"TCGA-AR-A24H","TCGA-AR-A24H",1301118.332
"TCGA-AR-A24K","TCGA-AR-A24K",574788.037
