"","mRNA","miRNA","mRNA+miRNA","mRNA+miRNA+CNB+TMB","mRNA+miRNA+Age+Gender","mRNA+miRNA+CNB+TMB+Age+Gender"
"mRNA",NA,9.47900676039721,-0.139028833350781,-0.548544652433223,-2.42536535865137,-2.42665331434816
"miRNA",-9.47900676039721,NA,-12.1199189373311,-13.8316407915295,-10.6383160163441,-8.91757479273802
"mRNA+miRNA",0.139028833350781,12.1199189373311,NA,-0.677207176493295,-3.60727436876695,-3.23911306286535
"mRNA+miRNA+CNB+TMB",0.548544652433223,13.8316407915295,0.677207176493295,NA,-3.07951292751568,-1.1081505920089
"mRNA+miRNA+Age+Gender",2.42536535865137,10.6383160163441,3.60727436876695,3.07951292751568,NA,0.888532994968866
"mRNA+miRNA+CNB+TMB+Age+Gender",2.42665331434816,8.91757479273802,3.23911306286535,1.1081505920089,-0.888532994968866,NA
