"","mRNA","miRNA","mRNA+miRNA","mRNA+miRNA+CNB+TMB","mRNA+miRNA+Age+Gender","mRNA+miRNA+CNB+TMB+Age+Gender"
"mRNA",NA,0.000691106221666871,0.896146144657284,0.612496657151641,0.072342243560981,0.0722416400184773
"miRNA",0.000691106221666871,NA,0.000265885567560589,0.000158369774742383,0.000442079572490176,0.00087418964369553
"mRNA+miRNA",0.896146144657284,0.000265885567560589,NA,0.535419027740606,0.022611325543078,0.031700573941219
"mRNA+miRNA+CNB+TMB",0.612496657151641,0.000158369774742383,0.535419027740606,NA,0.0369491033670086,0.329939982259842
"mRNA+miRNA+Age+Gender",0.072342243560981,0.000442079572490176,0.022611325543078,0.0369491033670086,NA,0.424458369585309
"mRNA+miRNA+CNB+TMB+Age+Gender",0.0722416400184773,0.00087418964369553,0.031700573941219,0.329939982259842,0.424458369585309,NA
