Without feature removing concordance index: 0.70419162
Feature removed: 1, concordance index: 0.70299401
Feature removed: 2, concordance index: 0.71017964
Feature removed: 3, concordance index: 0.70299401
Feature removed: 4, concordance index: 0.70419162
Feature removed: 5, concordance index: 0.70658683
Feature removed: 6, concordance index: 0.70658683
Feature removed: 7, concordance index: 0.70778443
Feature removed: 8, concordance index: 0.70538922
Feature removed: 9, concordance index: 0.70419162
Feature removed: 10, concordance index: 0.70419162
Feature removed: 11, concordance index: 0.70059880
Feature removed: 12, concordance index: 0.70299401
Feature removed: 13, concordance index: 0.70538922
Feature removed: 14, concordance index: 0.70419162
Feature removed: 15, concordance index: 0.69940120
Feature removed: 16, concordance index: 0.70179641
Feature removed: 17, concordance index: 0.70898204
Feature removed: 18, concordance index: 0.70419162
Feature removed: 19, concordance index: 0.70419162
Feature removed: 20, concordance index: 0.70179641
Feature removed: 21, concordance index: 0.70419162
Feature removed: 22, concordance index: 0.70538922
Feature removed: 23, concordance index: 0.70299401
Feature removed: 24, concordance index: 0.70419162
Feature removed: 25, concordance index: 0.70898204
Feature removed: 26, concordance index: 0.70538922
Feature removed: 27, concordance index: 0.70299401
Feature removed: 28, concordance index: 0.70898204
Feature removed: 29, concordance index: 0.70658683
Feature removed: 30, concordance index: 0.69461078
Feature removed: 31, concordance index: 0.70778443
Feature removed: 32, concordance index: 0.60958084
Feature removed: 33, concordance index: 0.68023952
